,Date / Time,City,State,Shape
352,2016-11-16 22:15:00,Schenectady                         ,NY    ,Other     
354,2016-11-16 20:50:00,Middleton                           ,ID    ,Sphere    
355,2016-11-16 20:30:00,Danville                            ,KY    ,Light     
356,2016-11-16 20:05:00,Maple Grove                         ,MN    ,Triangle  
357,2016-11-16 20:00:00,Lake Havasu City                    ,AZ    ,Cross     
358,2016-11-16 20:00:00,Maricopa                            ,AZ    ,Circle    
359,2016-11-16 19:00:00,Carlton                             ,OR    ,Fireball  
360,2016-11-16 19:00:00,Wood Village                        ,OR    ,Light     
361,2016-11-16 18:30:00,Green Garden Township               ,IL    ,Light     
363,2016-11-16 18:00:00,Frostproof                          ,FL    ,Light     
364,2016-11-16 18:00:00,Egg Harbor Township                 ,NJ    ,Other     
365,2016-11-16 17:30:00,Shady Cove                          ,OR    ,Light     
366,2016-11-16 17:17:00,Fremont                             ,WI    ,Light     
367,2016-11-16 16:00:00,Mosinee                             ,WI    ,Fireball  
368,2016-11-16 08:45:00,Clarksville                         ,TN    ,Triangle  
369,2016-11-16 00:05:00,Richland                            ,WA    ,Formation 
370,2016-11-15 20:10:00,Bettendorf                          ,IA    ,Light     
371,2016-11-15 20:00:00,Phoenix                             ,AZ    ,Egg       
372,2016-11-15 19:10:00,Portland                            ,OR    ,Triangle  
373,2016-11-15 18:45:00,Stevens Point                       ,WI    ,Light     
374,2016-11-15 18:30:00,Seattle                             ,WA    ,Light     
376,2016-11-15 17:55:00,Stevens Point                       ,WI    ,Circle    
377,2016-11-15 17:30:00,Naperville                          ,IL    ,Circle    
378,2016-11-15 17:00:00,Berlin                              ,WI    ,Formation 
379,2016-11-15 14:00:00,Tahlequah                           ,OK    ,Teardrop  
380,2016-11-15 08:00:00,Glendale                            ,AZ    ,Changing  
381,2016-11-15 07:05:00,Old Washington                      ,OH    ,Formation 
382,2016-11-15 03:45:00,Saltillo                            ,MS    ,Fireball  
383,2016-11-15 03:29:00,Portland                            ,OR    ,Oval      
384,2016-11-14 23:30:00,Hillsboro                           ,OR    ,Disk      
385,2016-11-14 22:03:00,Gardena                             ,CA    ,Light     
386,2016-11-14 21:00:00,Longmont                            ,CO    ,Formation 
387,2016-11-14 19:30:00,Deltona                             ,FL    ,Triangle  
388,2016-11-14 19:25:00,Central City                        ,NE    ,Light     
389,2016-11-14 19:21:00,Irving                              ,TX    ,Other     
390,2016-11-14 19:17:00,Jacksonville                        ,FL    ,Light     
391,2016-11-14 19:00:00,Blanchardville                      ,WI    ,Light     
392,2016-11-14 19:00:00,Columbus                            ,OH    ,Light     
393,2016-11-14 18:45:00,Summerville                         ,SC    ,Light     
394,2016-11-14 17:00:00,Waupaca                             ,WI    ,Formation 
395,2016-11-14 16:15:00,Wilkesboro                          ,NC    ,Other     
397,2016-11-14 01:00:00,Fresno                              ,CA    ,Light     
398,2016-11-14 00:00:00,Glendale                            ,AZ    ,Circle    
399,2016-11-13 23:20:00,Benson                              ,VT    ,Triangle  
400,2016-11-13 23:15:00,Palmyra                             ,PA    ,Circle    
401,2016-11-13 23:00:00,North Chesterfield                  ,VA    ,Changing  
402,2016-11-13 21:25:00,Coconut Creek                       ,FL    ,Oval      
403,2016-11-13 21:00:00,Chesapeake Bay                      ,MD    ,Triangle  
405,2016-11-13 20:45:00,Chester                             ,SD    ,Diamond   
406,2016-11-13 19:30:00,Centerville                         ,OH    ,Circle    
407,2016-11-13 19:30:00,Gila Bend                           ,AZ    ,Light     
408,2016-11-13 19:00:00,Selma                               ,IN    ,Changing  
410,2016-11-13 18:30:00,Benicia                             ,CA    ,Light     
411,2016-11-13 18:25:00,Monroeville                         ,PA    ,Fireball  
412,2016-11-13 16:50:00,Wheaton                             ,MD    ,Fireball  
413,2016-11-13 15:00:00,Ottawa                              ,IL    ,Cylinder  
415,2016-11-13 05:00:00,Bagley                              ,IA    ,Other     
416,2016-11-13 00:01:00,Grand Rapids                        ,MI    ,Fireball  
417,2016-11-13 00:00:00,Stockton                            ,CA    ,Disk      
418,2016-12-11 22:00:00,Maryville                           ,TN    ,Sphere    
419,2016-12-11 21:30:00,Andersonville                       ,TN    ,Rectangle 
420,2016-12-11 21:10:00,Auburn                              ,WA    ,Circle    
421,2016-12-11 21:00:00,Baltimore                           ,MD    ,Flash     
422,2016-12-11 20:55:00,New Market                          ,MD    ,Changing  
423,2016-12-11 20:40:00,Chesterfield                        ,MI    ,Formation 
424,2016-12-11 20:10:00,Highland Park                       ,IL    ,Light     
425,2016-12-11 19:30:00,Melbourne                           ,FL    ,Light     
426,2016-12-11 19:00:00,Glendale                            ,AZ    ,Circle    
427,2016-12-11 18:05:00,Durham                              ,NC    ,Disk      
428,2016-12-11 18:00:00,Fountain Hill                       ,AR    ,Changing  
429,2016-12-11 15:41:00,Bethesda                            ,MD    ,Fireball  
430,2016-12-11 14:00:00,Bristol                             ,VA    ,Sphere    
431,2016-12-11 07:00:00,Twin Falls                          ,ID    ,Circle    
432,2016-12-11 06:00:00,Bloomfield Hills                    ,MI    ,Oval      
433,2016-12-11 01:15:00,Louisville                          ,KY    ,Fireball  
434,2016-12-11 00:00:00,Freeport                            ,NY    ,Oval      
435,2016-11-11 23:00:00,Middletown                          ,DE    ,Disk      
436,2016-11-11 23:00:00,Alabaster                           ,AL    ,Light     
437,2016-11-11 22:54:00,Owatonna                            ,MN    ,Fireball  
438,2016-11-11 21:50:00,Jasper County                       ,IA    ,Flash     
439,2016-11-11 21:45:00,Anchorage                           ,AK    ,Cigar     
440,2016-11-11 21:05:00,Terra Linda                         ,CA    ,Light     
441,2016-11-11 21:05:00,Terra Linda                         ,CA    ,Light     
442,2016-11-11 19:30:00,Raleigh                             ,NC    ,Circle    
443,2016-11-11 18:45:00,Phoenix                             ,AZ    ,Light     
444,2016-11-11 18:30:00,Boca Raton                          ,FL    ,Sphere    
445,2016-11-11 18:24:00,Salt Lake City                      ,UT    ,Light     
446,2016-11-11 18:15:00,West Palm Beach                     ,FL    ,Light     
447,2016-11-11 18:00:00,Nashua                              ,NH    ,Circle    
448,2016-11-11 17:30:00,Moss Point                          ,MS    ,Light     
449,2016-11-11 11:46:00,Greeley                             ,CO    ,Sphere    
452,2016-11-11 08:30:00,Herod                               ,IL    ,Other     
453,2016-11-11 07:20:00,Leominster                          ,MA    ,Cigar     
454,2016-11-11 06:11:00,Pompano beach                       ,FL    ,Triangle  
